week sequences_fraction total_sequences
2020-05-25 0.0 8
2020-06-01 0.0 8
2020-06-08 0.0 15
2020-06-15 0.0 15
2020-06-22 0.0 19
2020-06-29 0.0 19
2020-07-06 0.0 22
2020-07-13 0.0 22
2020-07-20 0.0 13
2020-07-27 0.0 13
2020-08-03 0.0 12
2020-08-10 0.0 12
2020-08-17 0.0 3
2020-08-24 0.0 3
2020-08-31 0.0 7
2020-09-07 0.0 7
2020-09-14 0.0 6
2020-09-21 0.0 6
2020-09-28 0.0 9
2020-10-05 0.0 9
2020-10-12 0.0 7
2020-10-19 0.0 7
2020-10-26 0.0 8
2020-11-02 0.0 8
2020-11-09 0.0 10
2020-11-16 0.0 10
2020-11-23 0.0 9
2020-11-30 0.0 9
2020-12-07 0.0 14
2020-12-14 0.0 14
2020-12-21 0.0 37
2020-12-28 0.0 37
2021-01-04 0.0 23
2021-01-11 0.0 23
2021-01-18 0.0 45
2021-01-25 0.0 45
2021-02-01 0.0 31
2021-02-08 0.0 31
2021-02-15 0.0 35
2021-02-22 0.0 35
2021-03-01 0.0 78
2021-03-08 0.0 78
2021-03-15 0.0 57
2021-03-22 0.0 57
2021-03-29 0.0 61
2021-04-05 0.0 61
2021-04-12 0.0 62
2021-04-19 0.0 62
2021-04-26 0.0 44
2021-05-03 0.0 44
2021-05-10 0.0 22
2021-05-17 0.0 22
2021-05-24 0.0 19
2021-05-31 0.05 19
2021-06-07 0.1 20
2021-06-14 0.135 20
2021-06-21 0.17 53
2021-06-28 0.335 53
2021-07-05 0.5 36
2021-07-12 0.656 36
2021-07-19 0.811 37
2021-07-26 0.75 37
2021-08-02 0.69 42
2021-08-09 0.76 42
2021-08-16 0.829 41
2021-08-23 0.846 41
2021-08-30 0.863 51
2021-09-06 0.891 51
2021-09-13 0.918 61
2021-09-20 0.95 61
2021-09-27 0.982 111
2021-10-04 0.976 111
2021-10-11 0.969 160
2021-10-18 0.979 160
2021-10-25 0.989 181
2021-11-01 0.986 181
2021-11-08 0.983 116
2021-11-15 0.984 116
2021-11-22 0.985 135
2021-11-29 0.874 135
2021-12-06 0.764 140
2021-12-13 0.467 140
2021-12-20 0.17 218
2021-12-27 0.1 218
2022-01-03 0.031 191
2022-01-10 0.016 191
2022-01-17 0.0 195
2022-01-24 0.0 195
2022-01-31 0.0 201
2022-02-07 0.0 201
2022-02-14 0.0 212
2022-02-21 0.0 212
2022-02-28 0.0 175
2022-03-07 0.0 175
2022-03-14 0.0 174
2022-03-21 0.0 174
2022-03-28 0.0 188
2022-04-04 0.0 188
2022-04-11 0.0 176
2022-04-18 0.0 176
2022-04-25 0.0 251
2022-05-02 0.0 251
2022-05-09 0.0 326
2022-05-16 0.0 326
2022-05-23 0.0 195
2022-05-30 0.0 195
2022-06-06 0.0 285
2022-06-13 0.0 285
2022-06-20 0.0 99
