week sequences_fraction total_sequences
2020-08-17 0.0 3
2020-08-24 0.0 3
2020-08-31 0.0 9
2020-09-07 0.0 9
2020-09-28 0.0 10
2020-10-05 0.0 10
2020-11-09 0.0 29
2020-11-16 0.0 29
2020-12-07 0.0 1
2020-12-14 0.0 1
2020-12-21 0.0 8
2020-12-28 0.0 8
2021-01-04 0.0 34
2021-01-11 0.0 34
2021-01-18 0.0 44
2021-01-25 0.0 44
2021-02-01 0.0 317
2021-02-08 0.0 317
2021-02-15 0.0 528
2021-02-22 0.0 528
2021-03-01 0.0 565
2021-03-08 0.0 565
2021-03-15 0.0 661
2021-03-22 0.0 661
2021-03-29 0.0 601
2021-04-05 0.003 601
2021-04-12 0.006 467
2021-04-19 0.003 467
2021-04-26 0.0 715
2021-05-03 0.003 715
2021-05-10 0.006 493
2021-05-17 0.064 493
2021-05-24 0.122 335
2021-05-31 0.244 335
2021-06-07 0.365 189
2021-06-14 0.564 189
2021-06-21 0.763 266
2021-06-28 0.812 266
2021-07-05 0.861 359
2021-07-12 0.873 359
2021-07-19 0.885 489
2021-07-26 0.887 489
2021-08-02 0.888 614
2021-08-09 0.92 614
2021-08-16 0.953 887
2021-08-23 0.958 887
2021-08-30 0.962 858
2021-09-06 0.966 858
2021-09-13 0.97 722
2021-09-20 0.952 722
2021-09-27 0.934 619
2021-10-04 0.938 619
2021-10-11 0.942 740
2021-10-18 0.932 740
2021-10-25 0.922 704
2021-11-01 0.928 704
2021-11-08 0.933 730
2021-11-15 0.94 730
2021-11-22 0.948 967
2021-11-29 0.956 967
2021-12-06 0.963 2693
2021-12-13 0.896 2693
2021-12-20 0.83 2920
2021-12-27 0.542 2920
2022-01-03 0.254 3273
2022-01-10 0.14 3273
2022-01-17 0.027 2192
2022-01-24 0.016 2192
2022-01-31 0.004 2122
2022-02-07 0.002 2122
2022-02-14 0.0 1248
2022-02-21 0.0 1248
2022-02-28 0.001 1145
2022-03-07 0.0 1145
2022-03-14 0.0 933
2022-03-21 0.0 933
2022-03-28 0.0 951
2022-04-04 0.0 951
2022-04-11 0.0 569
2022-04-18 0.0 569
2022-04-25 0.0 572
2022-05-02 0.0 572
2022-05-09 0.0 501
2022-05-16 0.0 501
2022-05-23 0.0 417
2022-05-30 0.0 417
2022-06-06 0.0 272
