week sequences_fraction total_sequences
2020-10-12 0.0 1
2020-10-19 0.0 1
2020-10-26 0.0 1
2020-11-02 0.0 1
2020-11-09 0.0 3
2020-11-16 0.0 3
2020-11-23 0.0 1
2020-11-30 0.0 1
2020-12-07 0.0 2
2020-12-14 0.0 2
2020-12-21 0.0 2
2020-12-28 0.0 2
2021-01-04 0.0 10
2021-01-11 0.0 10
2021-01-18 0.0 11
2021-01-25 0.0 11
2021-02-01 0.0 4
2021-02-08 0.0 4
2021-02-15 0.0 2
2021-02-22 0.0 2
2021-03-01 0.0 73
2021-03-08 0.0 73
2021-03-15 0.0 19
2021-03-22 0.0 19
2021-03-29 0.0 14
2021-04-05 0.0 14
2021-04-12 0.0 1
2021-04-19 0.014 1
2021-04-26 0.029 35
2021-05-03 0.014 35
2021-05-10 0.0 26
2021-05-17 0.0 26
2021-05-24 0.0 20
2021-05-31 0.107 20
2021-06-07 0.214 14
2021-06-14 0.357 14
2021-06-21 0.5 18
2021-06-28 0.278 18
2021-07-05 0.057 35
2021-07-12 0.028 35
2021-07-19 0.0 21
2021-07-26 0.0 21
2021-08-02 0.0 6
2021-08-09 0.0 6
2021-08-16 0.0 3
2021-08-23 0.0 3
2021-08-30 0.0 43
2021-09-06 0.059 43
2021-09-13 0.118 76
2021-09-20 0.228 76
2021-09-27 0.337 83
2021-10-04 0.476 83
2021-10-11 0.614 57
2021-10-18 0.307 57
2021-11-08 0.0 4
2021-11-15 0.484 4
2021-11-22 0.967 61
2021-11-29 0.984 61
2021-12-06 1.0 25
2021-12-13 0.857 25
2021-12-20 0.714 77
2021-12-27 0.54 77
2022-01-03 0.367 90
2022-01-10 0.224 90
2022-01-17 0.08 125
2022-01-24 0.046 125
2022-01-31 0.013 228
2022-02-07 0.008 228
2022-02-14 0.003 295
2022-02-21 0.002 295
2022-02-28 0.0 181
2022-03-07 0.0 181
2022-03-14 0.0 191
2022-03-21 0.0 191
2022-03-28 0.0 55
2022-04-04 0.0 55
2022-04-11 0.0 87
2022-04-18 0.0 87
2022-04-25 0.0 46
2022-05-02 0.0 46
2022-05-09 0.0 157
2022-05-16 0.0 157
2022-05-23 0.0 167
2022-05-30 0.0 167
2022-06-06 0.0 49
2022-06-13 0.0 49
2022-06-20 0.0 6
