week sequences_fraction total_sequences
2020-05-11 0.0 13
2020-05-18 0.0 13
2020-05-25 0.0 2
2020-06-01 0.0 2
2020-07-20 0.0 9
2020-07-27 0.0 9
2020-08-03 0.0 15
2020-08-10 0.0 15
2020-08-17 0.0 14
2020-08-24 0.0 14
2020-08-31 0.0 30
2020-09-07 0.0 30
2020-09-14 0.0 4
2020-09-21 0.0 4
2020-09-28 0.0 4
2020-10-05 0.0 4
2020-10-12 0.0 2
2020-10-19 0.0 2
2020-10-26 0.0 3
2020-11-02 0.0 3
2020-11-09 0.0 17
2020-11-16 0.0 17
2020-11-23 0.0 187
2020-11-30 0.0 187
2020-12-07 0.0 197
2020-12-14 0.0 197
2020-12-21 0.0 101
2020-12-28 0.0 101
2021-01-04 0.0 198
2021-01-11 0.0 198
2021-01-18 0.0 63
2021-01-25 0.0 63
2021-02-01 0.0 390
2021-02-08 0.0 390
2021-02-15 0.0 1451
2021-02-22 0.0 1451
2021-03-01 0.0 750
2021-03-08 0.0 750
2021-03-15 0.0 1847
2021-03-22 0.0 1847
2021-03-29 0.0 1693
2021-04-05 0.0 1693
2021-04-12 0.0 1741
2021-04-19 0.0 1741
2021-04-26 0.0 1542
2021-05-03 0.0 1542
2021-05-10 0.0 1492
2021-05-17 0.002 1492
2021-05-24 0.005 1349
2021-05-31 0.014 1349
2021-06-07 0.024 750
2021-06-14 0.144 750
2021-06-21 0.263 190
2021-06-28 0.574 190
2021-07-05 0.884 465
2021-07-12 0.936 465
2021-07-19 0.987 1382
2021-07-26 0.99 1382
2021-08-02 0.994 1550
2021-08-09 0.992 1550
2021-08-16 0.989 1399
2021-08-23 0.991 1399
2021-08-30 0.993 1196
2021-09-06 0.994 1196
2021-09-13 0.994 714
2021-09-20 0.992 714
2021-09-27 0.989 870
2021-10-04 0.994 870
2021-10-11 0.998 864
2021-10-18 0.997 864
2021-10-25 0.996 1139
2021-11-01 0.992 1139
2021-11-08 0.987 1061
2021-11-15 0.991 1061
2021-11-22 0.995 1493
2021-11-29 0.98 1493
2021-12-06 0.964 1741
2021-12-13 0.812 1741
2021-12-20 0.66 1634
2021-12-27 0.456 1634
2022-01-03 0.253 1277
2022-01-10 0.154 1277
2022-01-17 0.054 573
2022-01-24 0.03 573
2022-01-31 0.005 1221
2022-02-07 0.002 1221
2022-02-14 0.0 1315
2022-02-21 0.0 1315
2022-02-28 0.0 901
2022-03-07 0.0 901
2022-03-14 0.0 1256
2022-03-21 0.006 1256
2022-03-28 0.011 818
2022-04-04 0.006 818
2022-04-11 0.001 1045
2022-04-18 0.002 1045
2022-04-25 0.003 349
