week sequences_fraction total_sequences
2020-08-03 0.0 2
2020-08-10 0.0 2
2020-08-17 0.0 10
2020-08-24 0.0 10
2020-08-31 0.0 3
2020-09-07 0.0 3
2020-09-14 0.0 4
2020-09-21 0.0 4
2020-10-26 0.0 1
2020-11-02 0.0 1
2020-11-09 0.0 6
2020-11-16 0.0 6
2020-11-23 0.0 10
2020-11-30 0.0 10
2021-01-18 0.0 4
2021-01-25 0.0 4
2021-02-15 0.0 4
2021-02-22 0.0 4
2021-03-15 0.0 14
2021-03-22 0.0 14
2021-03-29 0.0 19
2021-04-05 0.0 19
2021-04-12 0.0 50
2021-04-19 0.0 50
2021-04-26 0.0 181
2021-05-03 0.0 181
2021-05-10 0.0 31
2021-05-17 0.0 31
2021-05-24 0.0 21
2021-05-31 0.0 21
2021-06-07 0.0 12
2021-06-14 0.0 12
2021-06-21 0.0 5
2021-06-28 0.0 5
2021-07-05 0.0 5
2021-07-12 0.0 5
2021-07-19 0.0 50
2021-07-26 0.016 50
2021-08-02 0.033 121
2021-08-09 0.016 121
2021-08-16 0.0 119
2021-08-23 0.064 119
2021-08-30 0.129 85
2021-09-06 0.148 85
2021-09-13 0.167 24
2021-09-20 0.405 24
2021-09-27 0.643 42
2021-10-04 0.699 42
2021-10-11 0.755 94
2021-10-18 0.832 94
2021-10-25 0.91 67
2021-11-01 0.94 67
2021-11-08 0.971 102
2021-11-15 0.986 102
2021-11-22 1.0 66
2021-11-29 0.988 66
2021-12-06 0.975 79
2021-12-13 0.868 79
2021-12-20 0.761 46
2021-12-27 0.662 46
2022-01-03 0.562 112
2022-01-10 0.407 112
2022-01-17 0.252 111
2022-01-24 0.144 111
2022-01-31 0.036 84
2022-02-07 0.028 84
2022-02-14 0.021 47
2022-02-21 0.01 47
2022-02-28 0.0 44
2022-03-07 0.0 44
2022-03-14 0.0 34
2022-03-21 0.0 34
2022-03-28 0.0 19
2022-04-04 0.0 19
2022-04-11 0.0 32
2022-04-18 0.0 32
2022-04-25 0.0 39
2022-05-02 0.0 39
2022-05-09 0.0 86
2022-05-16 0.0 86
2022-05-23 0.0 71
2022-05-30 0.015 71
2022-06-06 0.03 33
2022-06-13 0.015 33
2022-06-20 0.0 40
