week sequences_fraction total_sequences
2020-12-21 0.0 2
2020-12-28 0.0 2
2021-01-18 0.0 2
2021-01-25 0.0 2
2021-07-19 0.0 16
2021-07-26 0.0 16
2021-08-16 0.0 12
2021-08-23 0.0 12
2021-10-25 0.0 72
2021-11-01 0.0 72
2021-11-08 0.0 131
2021-11-15 0.0 131
2021-11-22 0.0 139
2021-11-29 0.024 139
2021-12-06 0.049 102
2021-12-13 0.071 102
2021-12-20 0.093 54
2021-12-27 0.128 54
2022-01-03 0.163 300
2022-01-10 0.159 300
2022-01-17 0.155 296
2022-01-24 0.09 296
2022-01-31 0.026 191
2022-02-07 0.015 191
2022-02-14 0.004 235
2022-02-21 0.005 235
2022-02-28 0.006 334
2022-03-07 0.007 334
2022-03-14 0.008 133
2022-03-21 0.004 133
2022-03-28 0.0 84
2022-04-04 0.0 84
2022-04-11 0.0 10
2022-04-18 0.0 10
2022-04-25 0.0 48
2022-05-02 0.0 48
2022-05-09 0.0 56
2022-05-16 0.0 56
2022-05-23 0.0 40
2022-05-30 0.0 40
2022-06-06 0.0 132
