week sequences_fraction total_sequences
2020-04-27 0.0 7
2020-05-04 0.0 7
2020-05-11 0.0 14
2020-05-18 0.0 14
2020-05-25 0.0 8
2020-06-01 0.0 8
2020-06-08 0.0 3
2020-06-15 0.0 3
2020-07-06 0.0 2
2020-07-13 0.0 2
2020-07-20 0.0 6
2020-07-27 0.0 6
2020-08-03 0.0 7
2020-08-10 0.0 7
2020-08-17 0.0 1
2020-08-24 0.0 1
2020-08-31 0.0 23
2020-09-07 0.0 23
2020-09-28 0.0 25
2020-10-05 0.0 25
2020-10-12 0.0 44
2020-10-19 0.0 44
2020-10-26 0.0 75
2020-11-02 0.0 75
2020-11-09 0.0 62
2020-11-16 0.0 62
2020-11-23 0.0 42
2020-11-30 0.0 42
2020-12-07 0.0 60
2020-12-14 0.0 60
2020-12-21 0.0 37
2020-12-28 0.0 37
2021-01-04 0.0 148
2021-01-11 0.0 148
2021-01-18 0.0 135
2021-01-25 0.0 135
2021-02-01 0.0 88
2021-02-08 0.0 88
2021-02-15 0.0 91
2021-02-22 0.0 91
2021-03-01 0.0 59
2021-03-08 0.0 59
2021-03-15 0.0 58
2021-03-22 0.0 58
2021-03-29 0.0 137
2021-04-05 0.0 137
2021-04-12 0.0 121
2021-04-19 0.0 121
2021-04-26 0.0 143
2021-05-03 0.0 143
2021-05-10 0.0 84
2021-05-17 0.0 84
2021-05-24 0.0 131
2021-05-31 0.0 131
2021-06-07 0.0 72
2021-06-14 0.0 72
2021-06-21 0.0 126
2021-06-28 0.0 126
2021-07-05 0.0 87
2021-07-12 0.0 87
2021-07-19 0.0 301
2021-07-26 0.0 301
2021-08-02 0.0 568
2021-08-09 0.0 568
2021-08-16 0.0 703
2021-08-23 0.0 703
2021-08-30 0.0 854
2021-09-06 0.0 854
2021-09-13 0.0 716
2021-09-20 0.0 716
2021-09-27 0.0 622
2021-10-04 0.0 622
2021-10-11 0.0 393
2021-10-18 0.0 393
2021-10-25 0.0 468
2021-11-01 0.001 468
2021-11-08 0.002 416
2021-11-15 0.004 416
2021-11-22 0.006 488
2021-11-29 0.076 488
2021-12-06 0.147 557
2021-12-13 0.402 557
2021-12-20 0.657 1113
2021-12-27 0.579 1113
2022-01-03 0.501 617
2022-01-10 0.611 617
2022-01-17 0.721 850
2022-01-24 0.668 850
2022-01-31 0.615 1113
2022-02-07 0.459 1113
2022-02-14 0.303 1109
2022-02-21 0.212 1109
2022-02-28 0.12 773
2022-03-07 0.082 773
2022-03-14 0.044 3741
2022-03-21 0.029 3741
2022-03-28 0.014 1127
2022-04-04 0.012 1127
2022-04-11 0.011 740
2022-04-18 0.01 740
2022-04-25 0.009 426
2022-05-02 0.006 426
2022-05-09 0.003 356
2022-05-16 0.012 356
2022-05-23 0.021 94
2022-05-30 0.014 94
2022-06-06 0.006 164
2022-06-13 0.003 164
2022-06-20 0.0 35
