,days,cumulative_incidence_SRC,cumulative_incidence_TRG,cumulative_incidence_vax
0,2020-09-09,0.0,0.012295965730531024,0.0
1,2020-09-10,0.0,0.012379420035302308,0.0
2,2020-09-11,0.0,0.01244499778954335,0.0
3,2020-09-12,0.0,0.012489506752088035,0.0
4,2020-09-13,0.0,0.012527996059862332,0.0
5,2020-09-14,0.0,0.012627046742902348,0.0
6,2020-09-15,0.0,0.012688885014634513,0.0
7,2020-09-16,0.0,0.01274917276922885,0.0
8,2020-09-17,0.0,0.012804991386190626,0.0
9,2020-09-18,0.0,0.012880145863930013,0.0
10,2020-09-19,0.0,0.012909332068877347,0.0
11,2020-09-20,0.0,0.012930765688135545,0.0
12,2020-09-21,0.0,0.01303173171587523,0.0
13,2020-09-22,0.0,0.013056539990080464,0.0
14,2020-09-23,0.0002940209391245379,0.013107251021176457,0.0
15,2020-09-24,0.0005985426260749522,0.013152854466406667,0.0
16,2020-09-25,0.0008662009282526697,0.013231109978421708,0.0
17,2020-09-26,0.0011186176386493683,0.013267683941496336,0.0
18,2020-09-27,0.001297839262934895,0.01328820549184993,0.0
19,2020-09-28,0.001614368134108147,0.013369470831250164,0.0
20,2020-09-29,0.0019294348758372892,0.013388897898918234,0.0
21,2020-09-30,0.00254246587549478,0.013451739446445463,0.0
22,2020-10-01,0.0038326574646211733,0.013501720822417773,0.0
23,2020-10-02,0.00521579058282053,0.013590921161288063,0.0
24,2020-10-03,0.007683637064014548,0.013614634952807774,0.0
25,2020-10-04,0.00903711089073515,0.013639534433903467,0.0
26,2020-10-05,0.01060024152062621,0.013747432185318145,0.0
27,2020-10-06,0.012122751816535502,0.013818482352986812,0.0
28,2020-10-07,0.01400815858825547,0.013906405795390656,0.0
29,2020-10-08,0.015141874258910679,0.013999984065003046,0.0
30,2020-10-09,0.016402447877358162,0.014101497334085493,0.0
31,2020-10-10,0.017462069049916994,0.014097575437795697,0.0
32,2020-10-11,0.018658488331361526,0.014116546471011461,0.0
33,2020-10-12,0.020293241851725728,0.014096298541329247,0.0
34,2020-10-13,0.022030567088453957,0.014251715082673805,0.0
35,2020-10-14,0.03286813667151069,0.014289383528433957,0.0
36,2020-10-15,0.04136616844737932,0.014377580591509183,0.0
37,2020-10-16,0.05017556905317434,0.014445073690449894,0.0
38,2020-10-17,0.058828828533901874,0.014451549379672584,0.0
39,2020-10-18,0.06748015371301122,0.014482833343100507,0.0
40,2020-10-19,0.07873762793901444,0.014600946266246752,0.0
41,2020-10-20,0.09295044638459339,0.014661872469074312,0.0
42,2020-10-21,0.11425806824325277,0.01475481229045348,0.0
43,2020-10-22,0.13444411754697105,0.014842918146638247,0.0
44,2020-10-23,0.15769248869587052,0.015015663997170279,0.0
45,2020-10-24,0.17733671862409653,0.01504831606395511,0.0
46,2020-10-25,0.19840760345693095,0.015085437268372501,0.0
47,2020-10-26,0.2215040244676023,0.015317193977032427,0.0
48,2020-10-27,0.2462066680497698,0.015418433625443494,0.0
49,2020-10-28,0.3060637390855356,0.01551556896378384,0.0
50,2020-10-29,0.3604222891186235,0.015661499988520514,0.0
51,2020-10-30,0.41006151931755713,0.015859236527038703,0.0
52,2020-10-31,0.46299405921324277,0.015945518245414257,0.0
53,2020-11-01,0.27354772363281915,0.01604785237651085,0.0
54,2020-11-02,0.2967121602843793,0.016210930296654078,0.0
55,2020-11-03,0.32659954761958454,0.01652559406874253,0.0
56,2020-11-04,0.3736891959794581,0.016676906300016364,0.0
57,2020-11-05,0.4149860798591933,0.01694085904100882,0.0
58,2020-11-06,0.4605568616154607,0.017284800224935063,0.0
59,2020-11-07,0.49456836613873767,0.017577209515751167,0.0
60,2020-11-08,0.5322349861578258,0.01783578105020646,0.0
61,2020-11-09,0.567087508517594,0.018169963096853436,0.0
62,2020-11-10,0.60665221592523,0.01849201462706918,0.0
63,2020-11-11,0.6928436662349268,0.018751863057990915,0.0
64,2020-11-12,0.7412619145127534,0.019147336135027292,0.0
65,2020-11-13,0.786409955953956,0.019480788526550587,0.0
66,2020-11-14,0.8294795606401547,0.01977255936913347,0.0
67,2020-11-15,0.8597793334424396,0.020055574350232152,0.0
68,2020-11-16,0.8924010715231867,0.02047166018451259,0.0
69,2020-11-17,0.9221400199248816,0.020773372578155657,0.0
70,2020-11-18,0.9703190566299595,0.021103906349184215,0.0
71,2020-11-19,0.9897276294901011,0.02147858425519562,0.0
72,2020-11-20,1.0097177364468033,0.02185435664389255,0.0
73,2020-11-21,1.0213449473162932,0.022206871275522073,0.0
74,2020-11-22,1.031166418540111,0.02255956832093252,0.0
75,2020-11-23,1.0238328526797895,0.023096503285073004,0.0
76,2020-11-24,1.044291961328752,0.023519976877480735,0.0
77,2020-11-25,1.1276341074959793,0.023937339608227616,0.0
78,2020-11-26,1.141648358759015,0.02440249474957576,0.0
79,2020-11-27,1.1829187283941915,0.024871206959651854,0.0
80,2020-11-28,1.1967119401134776,0.025307905551176343,0.0
81,2020-11-29,1.2175617328016302,0.02574807000453833,0.0
82,2020-11-30,1.257771474317273,0.026385788582637584,0.0
83,2020-12-01,1.5175868483057067,0.026861706137060053,0.0
84,2020-12-02,1.6515451130874976,0.02739444558423936,0.0
85,2020-12-03,1.775338843671634,0.027942142961454183,0.0
86,2020-12-04,1.9000769600869716,0.02852687033619594,0.0
87,2020-12-05,2.049916991735269,0.029049668232315064,0.0
88,2020-12-06,2.1698056840637583,0.029551032509175987,0.0
