week sequences_fraction total_sequences
2020-04-27 0.0 98
2020-05-04 0.0 98
2020-05-11 0.0 74
2020-05-18 0.0 74
2020-05-25 0.0 33
2020-06-01 0.0 33
2020-06-08 0.0 24
2020-06-15 0.0 24
2020-06-22 0.0 18
2020-06-29 0.0 18
2020-07-20 0.0 10
2020-07-27 0.0 10
2020-08-03 0.0 3
2020-08-10 0.0 3
2020-08-17 0.0 11
2020-08-24 0.0 11
2020-08-31 0.0 13
2020-09-07 0.0 13
2020-09-14 0.0 17
2020-09-21 0.0 17
2020-09-28 0.0 2
2020-10-05 0.0 2
2020-10-12 0.0 2
2020-10-19 0.0 2
2020-11-09 0.0 25
2020-11-16 0.0 25
2020-11-23 0.0 1
2020-11-30 0.0 1
2020-12-07 0.0 21
2020-12-14 0.11 21
2020-12-21 0.219 64
2020-12-28 0.428 64
2021-01-04 0.636 55
2021-01-11 0.633 55
2021-01-18 0.63 459
2021-01-25 0.41 459
2021-02-01 0.19 654
2021-02-08 0.1 654
2021-02-15 0.009 1067
2021-02-22 0.016 1067
2021-03-01 0.024 973
2021-03-08 0.066 973
2021-03-15 0.107 169
2021-03-22 0.066 169
2021-03-29 0.026 1113
2021-04-05 0.513 1113
2021-04-12 1.0 11
2021-04-19 0.504 11
2021-04-26 0.008 398
2021-05-03 0.061 398
2021-05-24 0.114 385
2021-05-31 0.106 385
2021-06-07 0.098 559
2021-06-14 0.05 559
2021-06-21 0.002 1250
2021-06-28 0.002 1250
2021-07-05 0.001 3829
2021-07-12 0.001 3829
2021-07-19 0.001 2424
2021-07-26 0.036 2424
2021-08-02 0.072 18351
2021-08-09 0.036 18351
2021-08-16 0.0 22475
2021-08-23 0.0 22475
2021-08-30 0.0 3321
2021-09-06 0.0 3321
2021-09-13 0.0 1162
2021-09-20 0.0 1162
2021-09-27 0.001 3037
2021-10-04 0.001 3037
2021-10-11 0.001 1119
2021-10-18 0.0 1119
2021-10-25 0.0 1403
2021-11-01 0.0 1403
2021-11-08 0.0 2296
2021-11-15 0.0 2296
2021-11-22 0.0 2298
2021-11-29 0.0 2298
2021-12-06 0.0 1618
2021-12-13 0.0 1618
2021-12-20 0.0 2236
2021-12-27 0.0 2236
2022-01-03 0.0 2112
2022-01-10 0.0 2112
2022-01-17 0.0 1627
2022-01-24 0.0 1627
2022-01-31 0.0 514
2022-02-07 0.0 514
2022-02-14 0.0 1597
2022-02-21 0.0 1597
2022-02-28 0.0 1303
2022-03-07 0.0 1303
2022-03-14 0.0 26
2022-03-21 0.0 26
2022-03-28 0.0 776
2022-04-04 0.0 776
2022-04-11 0.0 558
2022-04-18 0.0 558
2022-04-25 0.0 210
2022-05-02 0.0 210
2022-05-09 0.0 389
2022-05-16 0.0 389
2022-05-23 0.0 366
2022-05-30 0.0 366
2022-06-06 0.0 233
2022-06-13 0.0 233
2022-06-20 0.0 778
