week sequences_fraction total_sequences
2020-08-03 0.0 4
2020-08-10 0.0 4
2020-08-17 0.0 1
2020-08-24 0.0 1
2021-01-04 0.0 10
2021-01-11 0.029 10
2021-01-18 0.058 86
2021-01-25 0.084 86
2021-02-01 0.11 118
2021-02-08 0.294 118
2021-02-15 0.478 138
2021-02-22 0.542 138
2021-03-01 0.606 104
2021-03-08 0.752 104
2021-03-15 0.897 58
2021-03-22 0.836 58
2021-03-29 0.776 134
2021-04-05 0.787 134
2021-04-12 0.798 129
2021-04-19 0.794 129
2021-04-26 0.79 81
2021-05-03 0.706 81
2021-05-10 0.623 61
2021-05-17 0.442 61
2021-05-24 0.26 131
2021-05-31 0.207 131
2021-06-07 0.154 39
2021-06-14 0.077 39
2021-06-21 0.0 9
2021-06-28 0.02 9
2021-07-05 0.04 75
2021-07-12 0.02 75
2021-07-19 0.0 101
2021-07-26 0.0 101
2021-08-02 0.0 605
2021-08-09 0.0 605
2021-08-16 0.0 367
2021-08-23 0.0 367
2021-08-30 0.0 158
2021-09-06 0.0 158
2021-09-13 0.0 158
2021-09-20 0.0 158
2021-09-27 0.0 95
2021-10-04 0.0 95
2021-10-11 0.0 33
2021-10-18 0.0 33
2021-10-25 0.0 38
2021-11-01 0.0 38
2021-11-08 0.0 35
2021-11-15 0.0 35
2021-11-22 0.0 117
2021-11-29 0.0 117
2021-12-06 0.0 98
2021-12-13 0.0 98
2022-01-03 0.0 28
2022-01-10 0.0 28
2022-01-31 0.0 3
2022-02-07 0.0 3
2022-02-14 0.0 4
2022-02-21 0.0 4
2022-03-14 0.0 10
2022-03-21 0.0 10
2022-03-28 0.0 30
2022-04-04 0.0 30
2022-04-25 0.0 19
2022-05-02 0.0 19
2022-05-09 0.0 48
2022-05-16 0.0 48
2022-05-23 0.0 48
2022-05-30 0.0 48
2022-06-06 0.0 18
2022-06-13 0.0 18
2022-06-20 0.0 9
