week sequences_fraction total_sequences
2020-04-27 0.0 130
2020-05-04 0.0 130
2020-05-11 0.0 64
2020-05-18 0.0 64
2020-05-25 0.0 78
2020-06-01 0.0 78
2020-06-08 0.0 152
2020-06-15 0.0 152
2020-06-22 0.0 281
2020-06-29 0.0 281
2020-07-06 0.0 428
2020-07-13 0.0 428
2020-07-20 0.0 509
2020-07-27 0.0 509
2020-08-03 0.0 178
2020-08-10 0.0 178
2020-08-17 0.0 122
2020-08-24 0.0 122
2020-08-31 0.0 335
2020-09-07 0.0 335
2020-09-14 0.0 215
2020-09-21 0.0 215
2020-09-28 0.0 273
2020-10-05 0.0 273
2020-10-12 0.0 299
2020-10-19 0.0 299
2020-10-26 0.0 396
2020-11-02 0.0 396
2020-11-09 0.0 336
2020-11-16 0.0 336
2020-11-23 0.0 401
2020-11-30 0.0 401
2020-12-07 0.0 478
2020-12-14 0.0 478
2020-12-21 0.0 769
2020-12-28 0.0 769
2021-01-04 0.0 828
2021-01-11 0.0 828
2021-01-18 0.0 357
2021-01-25 0.0 357
2021-02-01 0.0 301
2021-02-08 0.0 301
2021-02-15 0.0 166
2021-02-22 0.0 166
2021-03-01 0.0 286
2021-03-08 0.0 286
2021-03-15 0.0 243
2021-03-22 0.0 243
2021-03-29 0.0 159
2021-04-05 0.0 159
2021-04-12 0.0 297
2021-04-19 0.012 297
2021-04-26 0.024 424
2021-05-03 0.017 424
2021-05-10 0.01 484
2021-05-17 0.02 484
2021-05-24 0.031 831
2021-05-31 0.028 831
2021-06-07 0.024 1202
2021-06-14 0.032 1202
2021-06-21 0.039 1896
2021-06-28 0.034 1896
2021-07-05 0.028 1725
2021-07-12 0.022 1725
2021-07-19 0.017 1509
2021-07-26 0.018 1509
2021-08-02 0.019 1293
2021-08-09 0.02 1293
2021-08-16 0.022 1193
2021-08-23 0.015 1193
2021-08-30 0.008 1084
2021-09-06 0.008 1084
2021-09-13 0.009 672
2021-09-20 0.006 672
2021-09-27 0.003 355
2021-10-04 0.004 355
2021-10-11 0.004 277
2021-10-18 0.006 277
2021-10-25 0.008 118
2021-11-01 0.006 118
2021-11-08 0.003 338
2021-11-15 0.002 338
2021-11-22 0.001 2003
2021-11-29 0.0 2003
2021-12-06 0.0 2250
2021-12-13 0.0 2250
2021-12-20 0.0 1532
2021-12-27 0.0 1532
2022-01-03 0.001 1281
2022-01-10 0.001 1281
2022-01-17 0.001 1040
2022-01-24 0.0 1040
2022-01-31 0.0 483
2022-02-07 0.0 483
2022-02-14 0.0 544
2022-02-21 0.0 544
2022-02-28 0.0 519
2022-03-07 0.0 519
2022-03-14 0.0 565
2022-03-21 0.0 565
2022-03-28 0.0 732
2022-04-04 0.0 732
2022-04-11 0.0 921
2022-04-18 0.0 921
2022-04-25 0.0 1674
2022-05-02 0.0 1674
2022-05-09 0.0 670
2022-05-16 0.0 670
2022-05-23 0.0 514
2022-05-30 0.0 514
2022-06-06 0.0 306
2022-06-13 0.0 306
2022-06-20 0.0 112
2022-06-27 0.0 112
2022-07-04 0.0 13
