week sequences_fraction total_sequences
2020-04-27 0.0 23
2020-05-04 0.0 23
2020-05-11 0.0 27
2020-05-18 0.0 27
2020-05-25 0.0 14
2020-06-01 0.0 14
2020-06-08 0.0 22
2020-06-15 0.0 22
2020-06-22 0.0 26
2020-06-29 0.0 26
2020-07-06 0.0 44
2020-07-13 0.0 44
2020-07-20 0.0 5
2020-07-27 0.0 5
2020-08-03 0.0 10
2020-08-10 0.0 10
2020-08-17 0.0 3
2020-08-24 0.0 3
2020-08-31 0.0 4
2020-09-07 0.0 4
2020-09-28 0.0 3
2020-10-05 0.0 3
2020-10-12 0.0 6
2020-10-19 0.0 6
2020-11-09 0.0 4
2020-11-16 0.0 4
2020-11-23 0.0 25
2020-11-30 0.0 25
2020-12-07 0.0 26
2020-12-14 0.0 26
2020-12-21 0.0 58
2020-12-28 0.0 58
2021-01-04 0.0 182
2021-01-11 0.0 182
2021-01-18 0.0 119
2021-01-25 0.0 119
2021-02-01 0.0 164
2021-02-08 0.0 164
2021-02-15 0.0 71
2021-02-22 0.0 71
2021-03-01 0.0 42
2021-03-08 0.0 42
2021-03-15 0.0 14
2021-03-22 0.0 14
2021-03-29 0.0 11
2021-04-05 0.0 11
2021-04-12 0.0 4
2021-04-19 0.0 4
2021-05-10 0.0 2
2021-05-17 0.0 2
2021-05-24 0.0 3
2021-05-31 0.0 3
2021-06-07 0.0 9
2021-06-14 0.0 9
2021-06-21 0.0 11
2021-06-28 0.0 11
2021-07-05 0.0 42
2021-07-12 0.0 42
2021-07-19 0.0 301
2021-07-26 0.0 301
2021-08-02 0.0 412
2021-08-09 0.0 412
2021-08-16 0.0 393
2021-08-23 0.0 393
2021-08-30 0.0 420
2021-09-06 0.0 420
2021-09-13 0.0 118
2021-09-20 0.0 118
2021-09-27 0.0 88
2021-10-04 0.0 88
2021-10-11 0.0 54
2021-10-18 0.0 54
2021-10-25 0.0 39
2021-11-01 0.0 39
2021-11-08 0.0 33
2021-11-15 0.0 33
2021-11-22 0.0 152
2021-11-29 0.0 152
2021-12-06 0.0 496
2021-12-13 0.001 496
2021-12-20 0.002 474
2021-12-27 0.006 474
2022-01-03 0.011 94
2022-01-10 0.051 94
2022-01-17 0.091 11
2022-01-24 0.046 11
2022-01-31 0.0 1
2022-02-07 0.25 1
2022-02-14 0.5 4
2022-02-21 0.522 4
2022-02-28 0.545 11
2022-03-07 0.772 11
2022-03-14 1.0 1
2022-03-21 1.0 1
2022-03-28 1.0 3
2022-04-04 1.0 3
2022-04-25 1.0 3
2022-05-02 0.5 3
2022-05-09 0.0 1
2022-05-16 0.5 1
2022-05-23 1.0 1
2022-05-30 0.75 1
2022-06-06 0.5 2
2022-06-13 0.278 2
2022-06-20 0.056 18
2022-06-27 0.028 18
2022-07-04 0.0 2
