week sequences_fraction total_sequences
2020-04-27 0.0 1
2020-05-04 0.0 1
2020-05-11 0.0 1
2020-05-18 0.0 1
2020-05-25 0.0 18
2020-06-01 0.0 18
2020-06-08 0.0 7
2020-06-15 0.0 7
2020-06-22 0.0 16
2020-06-29 0.0 16
2020-07-06 0.0 5
2020-07-13 0.0 5
2020-07-20 0.0 42
2020-07-27 0.0 42
2020-08-03 0.0 7
2020-08-10 0.0 7
2020-08-17 0.0 1
2020-08-24 0.0 1
2020-08-31 0.0 3
2020-09-07 0.0 3
2020-09-14 0.0 1
2020-09-21 0.0 1
2020-10-12 0.0 1
2020-10-19 0.0 1
2020-11-23 0.0 7
2020-11-30 0.0 7
2020-12-07 0.0 50
2020-12-14 0.0 50
2020-12-21 0.0 1257
2020-12-28 0.0 1257
2021-01-04 0.0 1121
2021-01-11 0.0 1121
2021-01-18 0.0 1376
2021-01-25 0.0 1376
2021-02-01 0.0 1503
2021-02-08 0.0 1503
2021-02-15 0.0 1287
2021-02-22 0.0 1287
2021-03-01 0.0 1100
2021-03-08 0.0 1100
2021-03-15 0.0 674
2021-03-22 0.0 674
2021-03-29 0.0 789
2021-04-05 0.0 789
2021-04-12 0.0 409
2021-04-19 0.0 409
2021-04-26 0.0 262
2021-05-03 0.0 262
2021-05-10 0.0 157
2021-05-17 0.0 157
2021-05-24 0.0 51
2021-05-31 0.0 51
2021-06-07 0.0 170
2021-06-14 0.0 170
2021-06-21 0.0 1685
2021-06-28 0.0 1685
2021-07-05 0.0 318
2021-07-12 0.0 318
2021-07-19 0.0 587
2021-07-26 0.0 587
2021-08-02 0.0 1442
2021-08-09 0.0 1442
2021-08-16 0.0 1316
2021-08-23 0.0 1316
2021-08-30 0.0 1816
2021-09-06 0.0 1816
2021-09-13 0.0 916
2021-09-20 0.0 916
2021-09-27 0.0 838
2021-10-04 0.0 838
2021-10-11 0.0 1073
2021-10-18 0.0 1073
2021-10-25 0.0 864
2021-11-01 0.0 864
2021-11-08 0.0 1541
2021-11-15 0.0 1541
2021-11-22 0.0 1832
2021-11-29 0.0 1832
2021-12-06 0.0 1906
2021-12-13 0.0 1906
2021-12-20 0.0 2029
2021-12-27 0.01 2029
2022-01-03 0.02 2359
2022-01-10 0.054 2359
2022-01-17 0.087 3559
2022-01-24 0.135 3559
2022-01-31 0.183 2736
2022-02-07 0.261 2736
2022-02-14 0.339 4160
2022-02-21 0.489 4160
2022-02-28 0.639 3050
2022-03-07 0.766 3050
2022-03-14 0.892 5896
2022-03-21 0.929 5896
2022-03-28 0.966 2684
2022-04-04 0.966 2684
2022-04-11 0.965 3578
2022-04-18 0.934 3578
2022-04-25 0.903 4236
2022-05-02 0.836 4236
2022-05-09 0.768 4024
2022-05-16 0.642 4024
2022-05-23 0.515 2651
2022-05-30 0.376 2651
2022-06-06 0.238 6331
2022-06-13 0.151 6331
2022-06-20 0.064 7186
2022-06-27 0.048 7186
2022-07-04 0.031 4935
