week sequences_fraction total_sequences
2020-04-27 0.0 7
2020-05-04 0.0 7
2020-05-11 0.0 5
2020-05-18 0.0 5
2020-07-20 0.0 2
2020-07-27 0.0 2
2020-08-03 0.0 14
2020-08-10 0.0 14
2020-08-17 0.0 1
2020-08-24 0.0 1
2020-08-31 0.0 18
2020-09-07 0.0 18
2020-09-14 0.0 35
2020-09-21 0.0 35
2020-09-28 0.0 38
2020-10-05 0.0 38
2020-10-12 0.0 20
2020-10-19 0.0 20
2020-10-26 0.0 195
2020-11-02 0.0 195
2020-11-09 0.0 124
2020-11-16 0.0 124
2020-11-23 0.0 68
2020-11-30 0.0 68
2020-12-07 0.0 238
2020-12-14 0.0 238
2020-12-21 0.0 145
2020-12-28 0.017 145
2021-01-04 0.034 58
2021-01-11 0.02 58
2021-01-18 0.006 161
2021-01-25 0.05 161
2021-02-01 0.093 107
2021-02-08 0.05 107
2021-02-15 0.008 523
2021-02-22 0.005 523
2021-03-01 0.002 1213
2021-03-08 0.002 1213
2021-03-15 0.002 561
2021-03-22 0.01 561
2021-03-29 0.019 568
2021-04-05 0.01 568
2021-04-12 0.002 838
2021-04-19 0.003 838
2021-04-26 0.004 1102
2021-05-03 0.005 1102
2021-05-10 0.005 959
2021-05-17 0.002 959
2021-05-24 0.0 170
2021-05-31 0.006 170
2021-06-07 0.011 185
2021-06-14 0.051 185
2021-06-21 0.091 22
2021-06-28 0.062 22
2021-07-05 0.033 274
2021-07-12 0.018 274
2021-07-19 0.002 485
2021-07-26 0.001 485
2021-08-02 0.0 252
2021-08-09 0.0 252
2021-08-16 0.0 3
2021-08-23 0.0 3
2021-08-30 0.0 749
2021-09-06 0.0 749
2021-09-13 0.0 443
2021-09-20 0.0 443
2021-09-27 0.0 122
2021-10-04 0.0 122
2021-10-11 0.0 8
2021-10-18 0.0 8
2021-10-25 0.0 362
2021-11-01 0.0 362
2021-11-08 0.0 532
2021-11-15 0.0 532
2021-11-22 0.0 808
2021-11-29 0.0 808
2021-12-06 0.0 501
2021-12-13 0.0 501
2021-12-20 0.0 264
2021-12-27 0.0 264
2022-01-03 0.0 168
2022-01-10 0.0 168
2022-01-17 0.0 328
2022-01-24 0.0 328
2022-01-31 0.0 838
2022-02-07 0.0 838
2022-02-14 0.0 1465
2022-02-21 0.0 1465
2022-02-28 0.0 30
2022-03-07 0.0 30
2022-03-14 0.0 252
2022-03-21 0.0 252
2022-03-28 0.0 349
2022-04-04 0.0 349
2022-04-11 0.0 173
2022-04-18 0.0 173
2022-04-25 0.0 139
2022-05-02 0.0 139
2022-05-09 0.0 16
2022-05-16 0.0 16
2022-05-23 0.0 21
2022-05-30 0.0 21
2022-06-06 0.0 427
2022-06-13 0.0 427
2022-06-20 0.0 267
