week sequences_fraction total_sequences
2020-04-27 0.0 10
2020-05-04 0.0 10
2020-05-11 0.0 13
2020-05-18 0.0 13
2020-05-25 0.0 17
2020-06-01 0.0 17
2020-06-08 0.0 19
2020-06-15 0.0 19
2020-06-22 0.0 14
2020-06-29 0.0 14
2020-07-06 0.0 18
2020-07-13 0.0 18
2020-07-20 0.0 25
2020-07-27 0.0 25
2020-08-03 0.0 25
2020-08-10 0.0 25
2020-08-17 0.0 22
2020-08-24 0.0 22
2020-08-31 0.0 36
2020-09-07 0.0 36
2020-09-14 0.0 23
2020-09-21 0.0 23
2020-09-28 0.0 27
2020-10-05 0.0 27
2020-10-12 0.0 49
2020-10-19 0.0 49
2020-10-26 0.0 44
2020-11-02 0.0 44
2020-11-09 0.0 85
2020-11-16 0.0 85
2020-11-23 0.0 76
2020-11-30 0.0 76
2020-12-07 0.0 104
2020-12-14 0.0 104
2020-12-21 0.0 156
2020-12-28 0.0 156
2021-01-04 0.0 442
2021-01-11 0.0 442
2021-01-18 0.0 281
2021-01-25 0.0 281
2021-02-01 0.0 175
2021-02-08 0.0 175
2021-02-15 0.0 252
2021-02-22 0.0 252
2021-03-01 0.0 229
2021-03-08 0.0 229
2021-03-15 0.0 191
2021-03-22 0.0 191
2021-03-29 0.0 145
2021-04-05 0.0 145
2021-04-12 0.0 181
2021-04-19 0.0 181
2021-04-26 0.0 292
2021-05-03 0.0 292
2021-05-10 0.0 366
2021-05-17 0.0 366
2021-05-24 0.0 581
2021-05-31 0.0 581
2021-06-07 0.0 814
2021-06-14 0.0 814
2021-06-21 0.0 1116
2021-06-28 0.0 1116
2021-07-05 0.0 909
2021-07-12 0.0 909
2021-07-19 0.0 886
2021-07-26 0.0 886
2021-08-02 0.0 783
2021-08-09 0.0 783
2021-08-16 0.0 611
2021-08-23 0.0 611
2021-08-30 0.0 542
2021-09-06 0.0 542
2021-09-13 0.0 348
2021-09-20 0.0 348
2021-09-27 0.0 258
2021-10-04 0.0 258
2021-10-11 0.0 188
2021-10-18 0.0 188
2021-10-25 0.0 127
2021-11-01 0.0 127
2021-11-08 0.0 141
2021-11-15 0.0 141
2021-11-22 0.0 181
2021-11-29 0.0 181
2021-12-06 0.0 340
2021-12-13 0.0 340
2021-12-20 0.0 955
2021-12-27 0.0 955
2022-01-03 0.0 2653
2022-01-10 0.0 2653
2022-01-17 0.0 3583
2022-01-24 0.0 3583
2022-01-31 0.0 1381
2022-02-07 0.0 1381
2022-02-14 0.0 876
2022-02-21 0.0 876
2022-02-28 0.0 859
2022-03-07 0.0 859
2022-03-14 0.0 542
2022-03-21 0.0 542
2022-03-28 0.0 375
2022-04-04 0.0 375
2022-04-11 0.0 107
2022-04-18 0.0 107
2022-04-25 0.0 73
2022-05-02 0.004 73
2022-05-09 0.008 126
2022-05-16 0.013 126
2022-05-23 0.018 222
2022-05-30 0.022 222
2022-06-06 0.027 1465
2022-06-13 0.021 1465
2022-06-20 0.015 2070
2022-06-27 0.009 2070
2022-07-04 0.003 301
