week sequences_fraction total_sequences
2020-04-27 0.0 3
2020-05-04 0.0 3
2020-05-11 0.0 3
2020-05-18 0.0 3
2020-07-06 0.0 1
2020-07-13 0.0 1
2020-07-20 0.0 1
2020-07-27 0.0 1
2020-08-03 0.0 6
2020-08-10 0.0 6
2020-08-17 0.0 3
2020-08-24 0.0 3
2020-08-31 0.0 5
2020-09-07 0.0 5
2020-09-14 0.0 4
2020-09-21 0.0 4
2020-09-28 0.0 2
2020-10-05 0.0 2
2020-10-12 0.0 2
2020-10-19 0.0 2
2020-10-26 0.0 4
2020-11-02 0.0 4
2020-11-09 0.0 5
2020-11-16 0.0 5
2020-11-23 0.0 7
2020-11-30 0.0 7
2020-12-07 0.0 50
2020-12-14 0.0 50
2020-12-21 0.0 38
2020-12-28 0.0 38
2021-01-04 0.0 91
2021-01-11 0.0 91
2021-01-18 0.0 138
2021-01-25 0.0 138
2021-02-01 0.0 259
2021-02-08 0.0 259
2021-02-15 0.0 271
2021-02-22 0.0 271
2021-03-01 0.0 516
2021-03-08 0.0 516
2021-03-15 0.0 654
2021-03-22 0.0 654
2021-03-29 0.0 454
2021-04-05 0.0 454
2021-04-12 0.0 295
2021-04-19 0.0 295
2021-04-26 0.0 188
2021-05-03 0.0 188
2021-05-10 0.0 56
2021-05-17 0.0 56
2021-05-24 0.0 71
2021-05-31 0.0 71
2021-06-07 0.0 93
2021-06-14 0.003 93
2021-06-21 0.006 173
2021-06-28 0.036 173
2021-07-05 0.066 152
2021-07-12 0.081 152
2021-07-19 0.096 375
2021-07-26 0.112 375
2021-08-02 0.128 609
2021-08-09 0.14 609
2021-08-16 0.151 935
2021-08-23 0.15 935
2021-08-30 0.15 747
2021-09-06 0.18 747
2021-09-13 0.209 827
2021-09-20 0.197 827
2021-09-27 0.185 961
2021-10-04 0.18 961
2021-10-11 0.175 1055
2021-10-18 0.19 1055
2021-10-25 0.204 922
2021-11-01 0.194 922
2021-11-08 0.184 922
2021-11-15 0.174 922
2021-11-22 0.165 879
2021-11-29 0.135 879
2021-12-06 0.105 381
2021-12-13 0.084 381
2021-12-20 0.064 513
2021-12-27 0.053 513
2022-01-03 0.041 1185
2022-01-10 0.024 1185
2022-01-17 0.007 1527
2022-01-24 0.005 1527
2022-01-31 0.002 1223
2022-02-07 0.001 1223
2022-02-14 0.0 810
2022-02-21 0.0 810
2022-02-28 0.0 438
2022-03-07 0.0 438
2022-03-14 0.0 278
