week sequences_fraction total_sequences
2020-04-27 0.0 4
2020-05-04 0.0 4
2020-05-25 0.0 4
2020-06-01 0.0 4
2020-06-08 0.0 11
2020-06-15 0.0 11
2020-06-22 0.0 50
2020-06-29 0.0 50
2020-07-06 0.0 56
2020-07-13 0.0 56
2020-07-20 0.0 65
2020-07-27 0.0 65
2020-08-03 0.0 74
2020-08-10 0.0 74
2020-08-17 0.0 94
2020-08-24 0.0 94
2020-08-31 0.0 166
2020-09-07 0.0 166
2020-09-14 0.0 163
2020-09-21 0.0 163
2020-09-28 0.0 337
2020-10-05 0.0 337
2020-10-12 0.0 352
2020-10-19 0.0 352
2020-10-26 0.0 887
2020-11-02 0.0 887
2020-11-09 0.0 136
2020-11-16 0.0 136
2020-11-23 0.0 955
2020-11-30 0.0 955
2020-12-07 0.0 872
2020-12-14 0.0 872
2020-12-21 0.0 432
2020-12-28 0.0 432
2021-01-04 0.0 811
2021-01-11 0.0 811
2021-01-18 0.0 1055
2021-01-25 0.0 1055
2021-02-01 0.0 1315
2021-02-08 0.0 1315
2021-02-15 0.0 1439
2021-02-22 0.0 1439
2021-03-01 0.0 1140
2021-03-08 0.0 1140
2021-03-15 0.0 1689
2021-03-22 0.0 1689
2021-03-29 0.0 1603
2021-04-05 0.0 1603
2021-04-12 0.0 1995
2021-04-19 0.0 1995
2021-04-26 0.0 1442
2021-05-03 0.0 1442
2021-05-10 0.0 998
2021-05-17 0.0 998
2021-05-24 0.0 675
2021-05-31 0.0 675
2021-06-07 0.0 437
2021-06-14 0.0 437
2021-06-21 0.0 322
2021-06-28 0.0 322
2021-07-05 0.0 491
2021-07-12 0.0 491
2021-07-19 0.0 896
2021-07-26 0.0 896
2021-08-02 0.0 1726
2021-08-09 0.0 1726
2021-08-16 0.0 2286
2021-08-23 0.0 2286
2021-08-30 0.0 2335
2021-09-06 0.0 2335
2021-09-13 0.0 2088
2021-09-20 0.0 2088
2021-09-27 0.0 2565
2021-10-04 0.0 2565
2021-10-11 0.0 2725
2021-10-18 0.0 2725
2021-10-25 0.0 2552
2021-11-01 0.0 2552
2021-11-08 0.0 2650
2021-11-15 0.0 2650
2021-11-22 0.0 2610
2021-11-29 0.0 2610
2021-12-06 0.0 2002
2021-12-13 0.0 2002
2021-12-20 0.0 3492
2021-12-27 0.0 3492
2022-01-03 0.0 3630
2022-01-10 0.0 3630
2022-01-17 0.0 2001
2022-01-24 0.0 2001
2022-01-31 0.0 2247
2022-02-07 0.0 2247
2022-02-14 0.0 1966
2022-02-21 0.0 1966
2022-02-28 0.0 1562
2022-03-07 0.0 1562
2022-03-14 0.0 1690
2022-03-21 0.0 1690
2022-03-28 0.0 1476
2022-04-04 0.0 1476
2022-04-11 0.0 943
2022-04-18 0.0 943
2022-04-25 0.0 506
2022-05-02 0.002 506
2022-05-09 0.003 352
2022-05-16 0.012 352
2022-05-23 0.022 229
2022-05-30 0.047 229
2022-06-06 0.072 276
2022-06-13 0.057 276
2022-06-20 0.042 95
